marca_masina;anul_fabricatiei;pretul;km_parcursi;tip_combustibil;tip_caroserie;tip_cutie_de_viteza
Audi;2012;9000;173800;Benzin?;Hatchback;Manual?
Peugeot;2020;26950;25000;Benzin?;SUV;Automat?
Volkswagen;2020;15000;22570;Electric;Hatchback;Automat?
SsangYong;2024;21000;4000;Benzin?;SUV;Automat?
Ford;2019;12950;163000;Diesel;Berlin?;Manual?
Renault;2021;13990;139000;Benzin?;SUV;Manual?
Mazda;2015;9990;223000;Diesel;Berlin?;Manual?
Seat;2018;9950;219000;Benzin?;Break;Manual?
Ford;2019;13449;210000;Hibrid;Break;Automat?
BMW;2013;13450;218000;Diesel;Berlin?;Automat?
Mercedes-Benz;2019;25949;73800;Diesel;SUV;Automat?
Peugeot;2021;20489;71000;Benzin?;SUV;Automat?
Ford;2020;11489;164000;Benzin?;Hatchback;Manual?
Volvo;2009;9990;297273;Diesel;SUV;Automat?
Mercedes-Benz;2011;8200;330150;Diesel;Berlin?;Manual?
Volkswagen;2013;8027;187236;Benzin?;Hatchback;Manual?
BMW;2007;3300;2600000;Diesel;Berlin?;Manual?
Dacia;2018;6500;20500;Benzin?;Hatchback;Manual?
Opel;2016;6990;93000;Benzin?;Hatchback;Manual?
Skoda;2014;4500;202880;Diesel;Berlin?;Manual?
Volkswagen;2020;15000;22570;Electric;Hatchback;Automat?
Renault;2019;7999;80000;Benzin?;Hatchback;Manual?
Audi;2015;16500;106000;Benzin?;Berlin?;Automat?
Toyota;2012;5990;225400;Diesel;Break;Manual?
Skoda;2018;8394;253000;Diesel;Break;Automat?
Dacia;2014;8990;180000;Diesel;SUV;Manual?
Toyota;2018;18000;44000;Hibrid;Hatchback;Automat? (CVT)
Dacia;2017;9000;136000;Benzin?;SUV;Manual?
BMW;2018;36000;76500;Benzin?;SUV;Automat?
Opel;2010;5500;109000;Benzin?;Hatchback;Manual?
Volkswagen;2023;18900;30000;Benzin?;SUV;Automat? (CVT)
Mercedes-Benz;2014;19000;270000;Diesel;Berlin?;Automat?
Skoda;2008;4000;129060;Benzin?;Berlin?;Manual?
Dacia;2021;13499;32100;Benzin?;SUV;Manual?
Nissan;2016;11800;142000;Diesel;SUV;Automat?
Ford;2016;7250;131000;Benzin?;Monovolum;Manual?
Ford;2015;6250;60000;Benzin?;Hatchback;Manual?
Dodge;2007;5300;225319;Benzin?;Berlin?;Automat?
Audi;2012;9000;173800;Benzin?;Hatchback;Manual?
Renault;2019;7999;80000;Benzin?;Hatchback;Manual?
Opel;2016;8500;131000;Diesel;Berlin?;Manual?
Mercedes-Benz;2015;9500;152000;Diesel;Monovolum;Automat?
Volkswagen;2020;18500;200000;Diesel;SUV;Automat?
BMW;2018;29000;230000;Diesel;SUV;Automat?
Audi;2021;20490;200000;Diesel;SUV;Automat?
Volvo;2021;21300;216000;Diesel;SUV;Automat?
Chevrolet;2014;5800;145437;Benzin?;Berlin?;Manual?
Renault;2022;28200;40000;Diesel;SUV;Automat?
Skoda;2009;5150;260000;Diesel;Break;Automat?
Volkswagen;2011;5500;223000;Benzin?;Hatchback;Manual?
Peugeot;2020;16650;167618;Diesel;Monovolum;Manual?
Mercedes-Benz;2021;30990;235650;Diesel;Limuzin?;Automat?
Volkswagen;2020;15990;197891;Diesel;Break;Automat?
BMW;2022;68850;58037;Diesel;SUV;Automat?
Skoda;2019;12490;200032;Diesel;Break;Automat?
Renault;2019;7999;80000;Benzin?;Hatchback;Manual?
Volkswagen;2020;15000;22570;Electric;Hatchback;Automat?
Opel;2011;4900;191300;Diesel;Berlin?;Automat?
Mitsubishi;2011;3900;206000;Benzin?;Hatchback;Automat?
Skoda;2009;2850;309000;Diesel;Hatchback;Manual?
Ford;2019;7650;293000;Diesel;Hatchback;Manual?
Mazda;2009;2650;147000;Benzin?;Hatchback;Manual?
Audi;2013;8750;247345;Diesel;Break;Automat?
Dacia;2017;6550;89000;Benzin?;Autovehicul mic;Manual?
Volkswagen;2007;3790;265000;Diesel;Hatchback;Manual?
BMW;2018;14300;197700;Diesel;Monovolum;Automat?
