marca_masina,anul_fabricatiei,pretul,km_parcursi,tip_combustibil,tip_caroserie,tip_cutie_de_viteza
SsangYong,2024,21000,4000,Benzină,SUV,Automată
Peugeot,2020,26950,25000,Benzină,SUV,Automată
Opel,2011,4900,191300,Diesel,Berlină,Automată
Opel,2019,14949,136000,Benzină,Berlină,Automată
Audi,2013,14450,228000,Diesel,Break,Automată
Dacia,2019,13449,96000,Diesel,SUV,Manuală
Hyundai,2021,14749,71506,Benzină,SUV,Manuală
Skoda,2019,9450,178000,Benzină,Break,Manuală
Dacia,2020,8249,171700,Diesel,Monovolum,Manuală
Renault,2021,16749,83800,Benzină,SUV,Automată
Ford,2020,17950,76000,Diesel,Berlină,Automată
Opel,2016,9950,79000,Benzină,Hatchback,Automată
BMW,2019,26950,221000,Hibrid,Berlină,Automată
Volkswagen,2023,28499,62400,Benzină,SUV,Automată
Volkswagen,2019,13949,205934,Benzină,Hatchback,Manuală
Volkswagen,2020,14449,177000,Benzină,Hatchback,Automată
Mercedes-Benz,2018,47950,138000,Diesel,Berlină,Automată
Skoda,2021,12450,115000,Benzină,Hatchback,Manuală
Ford,2021,18989,184000,Diesel,SUV,Automată
Renault,2019,8950,84207,Diesel,Hatchback,Manuală
Ford,2019,17449,58000,Hibrid,Berlină,Automată
Toyota,2020,18950,79000,Benzină,Berlină,Automată (CVT)
Volkswagen,2008,5000,229000,Diesel,Break,Automată
Renault,2016,15450,199690,Diesel,Berlină,Automată
Volvo,2016,25950,202000,Diesel,SUV,Automată
Renault,2017,19990,132000,Diesel,SUV,Automată
Mercedes-Benz,2007,6600,236000,Diesel,SUV,Automată
Ford,2021,15950,33519,Benzină,Hatchback,Automată
Renault,2016,9599,214000,Diesel,Microbuz,Manuală
Audi,2012,9000,173800,Benzină,Hatchback,Manuală
Peugeot,2020,26950,25000,Benzină,SUV,Automată
Volkswagen,2020,15000,22570,Electric,Hatchback,Automată
SsangYong,2024,21000,4000,Benzină,SUV,Automată
Ford,2019,12950,163000,Diesel,Berlină,Manuală
Renault,2021,13990,139000,Benzină,SUV,Manuală
Mazda,2015,9990,223000,Diesel,Berlină,Manuală
Seat,2018,9950,219000,Benzină,Break,Manuală
Ford,2019,13449,210000,Hibrid,Break,Automată
BMW,2013,13450,218000,Diesel,Berlină,Automată
Mercedes-Benz,2019,25949,73800,Diesel,SUV,Automată
Peugeot,2021,20489,71000,Benzină,SUV,Automată
Ford,2020,11489,164000,Benzină,Hatchback,Manuală
Volvo,2009,9990,297273,Diesel,SUV,Automată
Mercedes-Benz,2011,8200,330150,Diesel,Berlină,Manuală
Volkswagen,2013,8027,187236,Benzină,Hatchback,Manuală
BMW,2007,3300,2600000,Diesel,Berlină,Manuală
Dacia,2018,6500,20500,Benzină,Hatchback,Manuală
Opel,2016,6990,93000,Benzină,Hatchback,Manuală
Skoda,2014,4500,202880,Diesel,Berlină,Manuală
Volkswagen,2020,15000,22570,Electric,Hatchback,Automată
Renault,2019,7999,80000,Benzină,Hatchback,Manuală
Audi,2015,16500,106000,Benzină,Berlină,Automată
Toyota,2012,5990,225400,Diesel,Break,Manuală
Skoda,2018,8394,253000,Diesel,Break,Automată
Dacia,2014,8990,180000,Diesel,SUV,Manuală
Toyota,2018,18000,44000,Hibrid,Hatchback,Automată (CVT)
Dacia,2017,9000,136000,Benzină,SUV,Manuală
BMW,2018,36000,76500,Benzină,SUV,Automată
Opel,2010,5500,109000,Benzină,Hatchback,Manuală
Volkswagen,2023,18900,30000,Benzină,SUV,Automată (CVT)
Mercedes-Benz,2014,19000,270000,Diesel,Berlină,Automată
Skoda,2008,4000,129060,Benzină,Berlină,Manuală
Dacia,2021,13499,32100,Benzină,SUV,Manuală
Nissan,2016,11800,142000,Diesel,SUV,Automată
Ford,2016,7250,131000,Benzină,Monovolum,Manuală
Ford,2015,6250,60000,Benzină,Hatchback,Manuală
Dodge,2007,5300,225319,Benzină,Berlină,Automată
Audi,2012,9000,173800,Benzină,Hatchback,Manuală
Renault,2019,7999,80000,Benzină,Hatchback,Manuală
Opel,2016,8500,131000,Diesel,Berlină,Manuală
Mercedes-Benz,2015,9500,152000,Diesel,Monovolum,Automată
Volkswagen,2020,18500,200000,Diesel,SUV,Automată
BMW,2018,29000,230000,Diesel,SUV,Automată
Audi,2021,20490,200000,Diesel,SUV,Automată
Volvo,2021,21300,216000,Diesel,SUV,Automată
Chevrolet,2014,5800,145437,Benzină,Berlină,Manuală
Renault,2022,28200,40000,Diesel,SUV,Automată
Skoda,2009,5150,260000,Diesel,Break,Automată
Volkswagen,2011,5500,223000,Benzină,Hatchback,Manuală
Peugeot,2020,16650,167618,Diesel,Monovolum,Manuală
Mercedes-Benz,2021,30990,235650,Diesel,Limuzină,Automată
Volkswagen,2020,15990,197891,Diesel,Break,Automată
BMW,2022,68850,58037,Diesel,SUV,Automată
Skoda,2019,12490,200032,Diesel,Break,Automată
Renault,2019,7999,80000,Benzină,Hatchback,Manuală
Volkswagen,2020,15000,22570,Electric,Hatchback,Automată
Opel,2011,4900,191300,Diesel,Berlină,Automată
Mitsubishi,2011,3900,206000,Benzină,Hatchback,Automată
Skoda,2009,2850,309000,Diesel,Hatchback,Manuală
